id,kind,jurisdiction,identifier,title,status,last_action,introduced,url,fears,controls,agencies,record_url
os-e42375ff-85aa-4369-aeed-233462bd6511,bill,New Jersey,A 5586,Requires data center developers to provide certain notice to public before preliminary site plan consideration and hearing under MLUL; requires DCA to maintain related public notice website.,not passed,,2026-09-26,https://www.njleg.state.nj.us/bill-search/2026/A5586,,,,https://openstates.org/nj/bills/222/A5586/
os-a096486f-ce35-4063-9009-e7a9faf6f597,bill,Pennsylvania,HB 2786,"An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in student supports, providing for artificial intelligence policy.",not passed,Referred to Education,2026-09-25,https://www.palegis.us/legislation/bills/2025/hb2786,,,,https://openstates.org/pa/bills/2025-2026/HB2786/
os-f7773b68-8ae6-4030-8c9b-0d96f85a5aed,resolution,Pennsylvania,HR 630,A Resolution directing the Legislative Budget and Finance Committee to conduct a study on data center decommissioning in Pennsylvania and provide recommendations.,not passed,Referred to Energy,2026-09-24,https://www.palegis.us/legislation/bills/2025/hr630,,,,https://openstates.org/pa/bills/2025-2026/HR630/
os-5558c5c4-a2ec-435d-b78b-31c7dddf203e,bill,New Jersey,A 5550,Establishes Office of Algorithmic Civil Rights in DLPS to prevent discrimination in use of algorithms.,not passed,"Introduced, Referred to Assembly Science, Innovation and Technology Committee",2026-09-24,https://www.njleg.state.nj.us/bill-search/2026/A5550,bias,new-agency-powers,,https://openstates.org/nj/bills/222/A5550/
os-4aef2ebb-9bdd-41f8-a1a7-36c10bfdbc3a,bill,Pennsylvania,SB 1460,"An Act amending the act of July 31, 1968 (P.L.805, No.247), known as the Pennsylvania Municipalities Planning Code, in zoning, prohibiting the location of data centers.",not passed,Referred to Local Government,2026-09-24,https://www.palegis.us/legislation/bills/2025/sb1460,,,,https://openstates.org/pa/bills/2025-2026/SB1460/
os-231764e4-6abe-4f21-bf46-b203a9fd8487,bill,Pennsylvania,SB 1459,An Act requiring proposed data centers to conduct water usage studies.,not passed,Referred to Environmental Resources & Energy,2026-09-24,https://www.palegis.us/legislation/bills/2025/sb1459,,mandatory-reporting,,https://openstates.org/pa/bills/2025-2026/SB1459/
os-65e18506-3d8f-4d75-adee-02182d550289,bill,Pennsylvania,SB 1469,"An Act amending Title 66 (Public Utilities) of the Pennsylvania Consolidated Statutes, in rates and distribution systems, providing for large load hyperscale data center tariffs.",not passed,Referred to Consumer Protection & Professional Licensure,2026-09-24,https://www.palegis.us/legislation/bills/2025/sb1469,,,,https://openstates.org/pa/bills/2025-2026/SB1469/
os-2811f30d-032c-43c2-a6df-ff383af7296e,bill,Pennsylvania,SB 1455,"An Act amending Title 53 (Municipalities Generally) of the Pennsylvania Consolidated Statutes, in general provisions relating to government and administration, providing for pre-application procedure for a proposed data center.",not passed,Referred to Local Government,2026-09-24,https://www.palegis.us/legislation/bills/2025/sb1455,,,,https://openstates.org/pa/bills/2025-2026/SB1455/
os-5d0ee58e-9bf3-4459-a0a6-3d817f1db211,bill,Pennsylvania,HB 2787,"An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in school safety and security, providing for prohibition of artificial intelligence for school-based mental health and counseling.",not passed,Referred to Education,2026-09-24,https://www.palegis.us/legislation/bills/2025/hb2787,ai-therapists,use-restrictions,,https://openstates.org/pa/bills/2025-2026/HB2787/
os-510adb9e-3b64-4b05-bf84-70bb38bf8b09,bill,Pennsylvania,SB 1470,"An Act amending Title 27 (Environmental Resources) of the Pennsylvania Consolidated Statutes, in water resources planning, providing for water conservation requirements for data centers.",not passed,Referred to Environmental Resources & Energy,2026-09-24,https://www.palegis.us/legislation/bills/2025/sb1470,,,,https://openstates.org/pa/bills/2025-2026/SB1470/
os-ba976bc0-4167-45a2-9b1f-53bb3f9b8b87,bill,Pennsylvania,HB 2788,"An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in certification of teachers, providing for use of artificial intelligence in education.",not passed,Referred to Education,2026-09-24,https://www.palegis.us/legislation/bills/2025/hb2788,,,,https://openstates.org/pa/bills/2025-2026/HB2788/
os-38a42224-d8e6-436f-9f5b-e0620ae3b3a5,bill,Pennsylvania,SB 1461,"An Act amending the act of July 31, 1968 (P.L.805, No.247), known as the Pennsylvania Municipalities Planning Code, in general provisions, further providing for definitions; and, in zoning, providing for hyperscale data centers and public input.",not passed,Referred to Local Government,2026-09-24,https://www.palegis.us/legislation/bills/2025/sb1461,,data-center-limits,,https://openstates.org/pa/bills/2025-2026/SB1461/
os-99e62362-47cc-484a-b4fb-429eeea82ec0,bill,Michigan,HB 6417,Labor: other; community and worker economic transition activities; provide to workers who have employment tied to an industry affected by the adoption or implementation of artificial intelligence. Amends sec. 5 of 2023 PA 232 (MCL 408.915).,not passed,bill electronically reproduced 09/24/2026,2026-09-24,https://legislature.mi.gov/Bills/Bill?ObjectName=2026-HB-6417,job-loss,,,https://openstates.org/mi/bills/2025-2026/HB6417/
os-1fdc2adb-6d95-46ce-b2fd-83c1e53f4c34,bill,Michigan,HB 6392,Torts: liability; liability for artificial intelligence misidentification; establish. Amends 1961 PA 236 (MCL 600.101 - 600.9947) by adding sec. 2980.,not passed,bill electronically reproduced 09/24/2026,2026-09-24,https://legislature.mi.gov/Bills/Bill?ObjectName=2026-HB-6392,surveillance,,,https://openstates.org/mi/bills/2025-2026/HB6392/
os-c249bd26-55fa-4a46-a6ed-84b23c338506,bill,Michigan,HB 6388,Businesses: other; Michigan zoning enabling act; make subject to the data center siting and community protection act. Amends sec. 205 of 2006 PA 110 (MCL 125.3205).   TIE BAR WITH: HB 6391'26,not passed,bill electronically reproduced 09/24/2026,2026-09-24,https://legislature.mi.gov/Bills/Bill?ObjectName=2026-HB-6388,,data-center-limits,,https://openstates.org/mi/bills/2025-2026/HB6388/
os-2e3cffdd-78fd-4bb8-86ce-8066b3942790,bill,Michigan,HB 6391,Businesses: other; siting requirements for certain data centers; provide for. Creates new act.   TIE BAR WITH: HB 6388'26,not passed,bill electronically reproduced 09/24/2026,2026-09-24,https://legislature.mi.gov/Bills/Bill?ObjectName=2026-HB-6391,,data-center-limits,,https://openstates.org/mi/bills/2025-2026/HB6391/
us-119-hr-10578,bill,Congress,H.R. 10578,"To authorize certain labor market data collection activities and to improve Federal measurement of the workforce impacts of artificial intelligence, and for other purposes.",not passed,"Referred to the Committee on Education and Workforce, and in addition to the Committee on Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-09-24,https://www.congress.gov/bill/119th-congress/house-bill/10578,,,,https://www.congress.gov/bill/119th-congress/house-bill/10578
